Timestamp,Last,LastSize,TotalVolume,Bid,Ask,TickId,BasisForLast,TradeMarketCenter,TradeConditions
2019-11-04 10:29:28.279854,0.35,22,22,0.25,0.35,20585047,C,88,3D,
2019-11-04 10:29:28.279861,0.35,8,30,0.25,0.35,20585048,C,88,3D,
2019-11-04 10:29:28.279861,0.35,3,33,0.25,0.35,20585048,C,88,3D,
2019-11-04 10:29:28.279885,0.35,1,34,0.25,0.35,20585049,C,88,3D,
2019-11-04 10:29:28.279891,0.35,1,35,0.25,0.35,20585050,C,88,3D,
2019-11-04 10:29:47.358530,0.3,5,40,0.25,0.35,20671899,C,9,3D,
